date_yyyymmdd	precipitation_mm_per_day
20161231	0
20170101	0.05
20170102	0
20170103	0
20170104	2.64
20170105	12.19
20170106	8.54
20170107	0
20170108	0
20170109	0.32
20170110	0.57
20170111	0.01
20170112	0
20170113	0
20170114	0
20170115	0
20170116	0.05
20170117	0
20170118	0.01
20170119	0
20170120	0
20170121	0
20170122	0
20170123	0
20170124	0
20170125	0
20170126	0
20170127	0
20170128	2.36
20170129	0.22
20170130	0.01
20170131	1.67
20170201	0.01
20170202	0.09
20170203	0
20170204	0
20170205	0.09
20170206	0.51
20170207	4.29
20170208	0.02
20170209	0
20170210	0
20170211	0
20170212	0
20170213	0
20170214	0
20170215	0
20170216	0
20170217	0
20170218	0
20170219	0.01
20170220	2.35
20170221	8.28
20170222	0
20170223	0
20170224	0
20170225	0
20170226	0
20170227	0
20170228	0.45
20170301	0
20170302	0
20170303	0
20170304	0.06
20170305	0.34
20170306	0
20170307	0
20170308	0
20170309	0
20170310	0
20170311	0.37
20170312	15.68
20170313	2.16
20170314	0.17
20170315	2.45
20170316	0
20170317	0.02
20170318	0.11
20170319	1.05
20170320	0
20170321	3.2
20170322	0.22
20170323	1.36
20170324	0.01
20170325	0
20170326	0
20170327	0
20170328	0
20170329	2.51
20170330	10.13
20170331	0.15
20170401	0
20170402	0
20170403	3.86
20170404	5.03
20170405	1.09
20170406	0.02
20170407	1.25
20170408	19.96
20170409	21.27
20170410	4.18
20170411	0
20170412	0
20170413	0.01
20170414	0
20170415	9.64
20170416	12.94
20170417	0
20170418	0
20170419	1.08
20170420	0
20170421	0
20170422	0
20170423	0
20170424	0.24
20170425	3.64
20170426	0
20170427	0.09
20170428	0
20170429	0
20170430	0.12
20170501	0.48
20170502	4.9
20170503	24.39
20170504	0
20170505	0
20170506	0
20170507	2.01
20170508	0
20170509	0
20170510	0.65
20170511	3.72
20170512	0
20170513	0.7
20170514	0
20170515	0.45
20170516	0
20170517	0
20170518	0
20170519	0.39
20170520	0.08
20170521	0.8
20170522	16.83
20170523	0.85
20170524	0
20170525	0
20170526	0.54
20170527	0
20170528	0
20170529	0.14
20170530	0
20170531	0
20170601	0
20170602	0.01
20170603	5.02
20170604	34.3
20170605	10.15
20170606	0
20170607	0.02
20170608	3
20170609	48.13
20170610	0
20170611	0.44
20170612	0.11
20170613	0
20170614	0.11
20170615	0
20170616	0
20170617	0
20170618	0
20170619	0
20170620	0.52
20170621	0.31
20170622	0.38
20170623	7.6
20170624	0
20170625	0.36
20170626	0.28
20170627	0.09
20170628	0.01
20170629	0.46
20170630	0.9
20170701	0.1
20170702	0
20170703	0
20170704	0.01
20170705	2.27
20170706	16.08
20170707	0.04
20170708	2.28
20170709	0.12
20170710	0.02
20170711	0.04
20170712	0.02
20170713	0.45
20170714	3.44
20170715	16.59
20170716	17.37
20170717	4.73
20170718	7.11
20170719	1.59
20170720	0.34
20170721	0.09
20170722	0.01
20170723	0
20170724	0.05
20170725	0.11
20170726	0
20170727	0.28
20170728	0.24
20170729	0.79
20170730	0.15
20170731	1.85
20170801	4.83
20170802	1.97
20170803	0.28
20170804	0
20170805	0.03
20170806	0.45
20170807	55.6
20170808	7.53
20170809	0.02
20170810	0
20170811	0.8
20170812	0.55
20170813	0.38
20170814	0.13
20170815	0.09
20170816	0.14
20170817	1
20170818	4.81
20170819	1.67
20170820	0.13
20170821	0.47
20170822	0.44
20170823	1.26
20170824	0.53
20170825	1.77
20170826	0.17
20170827	0.1
20170828	16.94
20170829	6.49
20170830	14.95
20170831	8.57
20170901	41.22
20170902	8.21
20170903	7.4
20170904	6.69
20170905	8.3
20170906	0.19
20170907	0
20170908	4.31
20170909	67.77
20170910	5.27
20170911	0
20170912	0
20170913	0
20170914	0.02
20170915	0
20170916	0.06
20170917	0
20170918	0.79
20170919	0.88
20170920	0
20170921	0
20170922	0
20170923	16.21
20170924	31.79
20170925	6.18
20170926	3.17
20170927	12.51
20170928	0
20170929	0.17
20170930	8.9
20171001	16.58
20171002	13.82
20171003	24.96
20171004	13.55
20171005	0.11
20171006	0.1
20171007	1.28
20171008	2.3
20171009	6.14
20171010	6.45
20171011	41.04
20171012	0.04
20171013	0.03
20171014	0.02
20171015	0.71
20171016	9.26
20171017	23.81
20171018	1.16
20171019	0.02
20171020	0
20171021	0
20171022	1.17
20171023	0.11
20171024	0
20171025	0
20171026	0
20171027	0
20171028	0.97
20171029	0
