date_yyyymmdd	temperature_celsius
20170111	4.98
20170123	3.329166667
20170204	3.365
20170216	5.920833333
20170228	7.604166667
20170312	10.24583333
20170324	8.79
20170405	13.6075
20170417	15.7375
20170429	18.31666667
20170511	19.81416667
20170523	24.0725
20170604	26.24083333
20170628	25.56458333
20170710	29.19666667
20170722	30.58333333
20170803	30.87833333
20170815	29.4775
20170827	28.35333333
20170908	21.39083333
20170920	22.82
20171002	21.09
20171014	15.745
20171026	15.33583333
20171107	14.5075
20171119	11.50333333
20171201	7.668333333
20171213	5.334166667
20171225	3.530833333
20180130	-1.161388889
20180211	-0.8416666667
20180223	6.565833333
20180307	8.241666667
20180319	10.5175
20180331	15.555
20180412	16.06083333
20180424	17.5125
20180506	20.78666667
20180518	23.72833333
20180530	20.35416667
20180611	25.3075
20180623	27.11083333
20180705	27.39333333
20180717	27.38166667
20180729	29.435
20180810	28.59333333
20180822	27.91916667
20180903	27.03166667
20180915	23.6075
20180927	20.25333333
20181009	18.97166667
20181021	16.36416667
20181102	16.87833333
20181114	11.99166667
20181126	9.439166667
20181208	7.905
20181220	2.709166667
20190101	2.428333333
20190113	0.9291666667
20190125	3.125
20190206	4.905833333
20190218	1.005833333
20190302	5.423333333
20190314	10.37666667
20190326	13.71416667
20190407	16.78833333
20190419	16.8875
20190501	17.30916667
20190513	21.33916667
20190606	25.97958333
20190618	26.74166667
20190630	25.49
20190712	26.74333333
20190724	28.18083333
20190805	29.63833333
20190817	28.345
20190829	28.47583333
20190910	27.14583333
20190922	22.46083333
20191004	25.3
20191016	16.03
20191028	15.91166667
20191109	15.6275
20191121	12.65416667
20191203	6.42
20191215	6.49
20191227	5.604166667
20200108	4.036666667
20200120	2.8125
20200201	3.900833333
20200213	6.665833333
20200225	8.063333333
20200308	9.5925
20200320	13.02333333
20200401	13.72916667
20200413	14.17166667
20200425	16.7
20200507	23.08083333
20200718	26.03541667
20200730	24.90833333
20200811	28.57916667
20200823	26.5625
20200904	25.46083333
20200916	24.54833333
20200928	20.14583333
20201010	16.52916667
20201022	15.37333333
20201103	14.98666667
20201115	13.235
20201127	8.5325
20210126	3.039666667
20210207	6.749166667
20210219	9.155833333
20210303	9.15
20210315	10.77833333
20210327	11.17416667
20210408	12.98583333
20210420	15.10583333
20210502	16.6875
20210514	21.2425
20210701	24.50875
20210806	27.46055556
20210818	24.51083333
20210830	23.33333333
20210911	23.29166667
20210923	23.15416667
20211005	22.64083333
20211017	14.39333333
20211029	12.98583333
20211110	12.77
20211122	10.88416667
20211204	7.005
20211216	6.523333333
20211228	3.45
