date_yyyymmdd	deformation_mm
20170111	1.423056302
20170123	2.345000877
20170204	0.02800832277
20170216	0.01322456985
20170228	3.496339738
20170312	1.875688436
20170324	4.869816422
20170405	3.535620854
20170417	8.922782098
20170429	-1.503314964
20170511	-2.595802621
20170523	3.212906881
20170604	0.3873631292
20170628	-4.184138794
20170710	0.2655286659
20170722	-5.891169674
20170803	-3.179733466
20170815	0.03707513484
20170827	3.035174914
20170908	3.433021547
20170920	-1.107461039
20171002	1.024789419
20171014	-0.6089299972
20171026	0.1467974251
20171107	-3.330909798
20171119	-3.920701399
20171201	-5.758789865
20171213	-5.552440605
20171225	-7.617137154
20180130	7.513484716
20180211	5.407897404
20180223	12.35862665
20180307	8.302882048
20180319	7.908423435
20180331	8.400546635
20180412	7.601125679
20180424	9.338852764
20180506	9.028967383
20180518	9.492462785
20180530	9.580567664
20180611	4.03920766
20180623	13.29986641
20180705	4.691073711
20180717	2.018846565
20180729	-0.1773497925
20180810	-1.574718916
20180822	-1.843050771
20180903	-7.480652714
20180915	-4.141718283
20180927	-2.192959448
20181009	6.851257466
20181021	-3.32914262
20181102	-2.824718414
20181114	0.3993079728
20181126	2.195029333
20181208	-1.363006018
20181220	1.236118638
20190101	0.7220439959
20190113	0.834889784
20190125	2.520708016
20190206	2.402988236
20190218	2.82267675
20190302	3.226120924
20190314	4.354064851
20190326	5.830809488
20190407	1.561458312
20190419	1.471811462
20190501	-2.02922551
20190513	-4.01269219
20190606	-3.249889847
20190618	-6.167299778
20190630	-6.640082416
20190712	-6.663739783
20190724	2.685169164
20190805	-5.662808555
20190817	-12.49849441
20190829	-16.21701278
20190910	-12.93780657
20190922	-12.6133299
20191004	-21.03307041
20191016	-8.706032213
20191028	-7.225851905
20191109	-8.48568799
20191121	-9.553713201
20191203	-7.330049909
20191215	-7.418993658
20191227	-6.43179505
20200108	-12.53288514
20200120	-3.253489138
20200201	-0.7532234221
20200213	-1.149556862
20200225	-0.2902539782
20200308	-4.335818019
20200320	-1.536120339
20200401	-0.008736739828
20200413	-0.1347446868
20200425	-4.245881324
20200507	-5.449303043
20200718	7.18156608
20200730	13.13568739
20200811	5.077148563
20200823	7.756865227
20200904	0.5310318754
20200916	10.28157077
20200928	7.595268198
20201010	7.686249372
20201022	7.235294533
20201103	8.716623721
20201115	8.28019503
20201127	5.554083437
20210126	12.42143249
20210207	9.880800708
20210219	8.170691382
20210303	8.750855416
20210315	10.52305926
20210327	9.300678567
20210408	4.38260091
20210420	1.09582693
20210502	2.692233317
20210514	-2.96414911
20210701	-8.833747065
20210806	4.868436033
20210818	6.200239328
20210830	4.663819396
20210911	0.4038576616
20210923	0.4313037045
20211005	2.515624454
20211017	-2.127755589
20211029	-1.13821527
20211110	-5.464849416
20211122	-8.146248906
20211204	-8.698112884
20211216	-13.43438641
20211228	-14.69223759
