date_yyyymmdd	fitted_deformation_mm
20170111	-3.322971972
20170112	-3.182611484
20170113	-3.042751338
20170114	-2.903421868
20170115	-2.764653273
20170116	-2.626475606
20170117	-2.488918769
20170118	-2.3520125
20170119	-2.21578637
20170120	-2.08026977
20170121	-1.945491904
20170122	-1.811481783
20170123	-1.678268212
20170124	-1.545879787
20170125	-1.414344883
20170126	-1.283691648
20170127	-1.153947995
20170128	-1.025141592
20170129	-0.8972998563
20170130	-0.7704499445
20170131	-0.6446187471
20170201	-0.5198328792
20170202	-0.3961186733
20170203	-0.2735021717
20170204	-0.1520091187
20170205	-0.03166495388
20170206	0.08750519611
20170207	0.2054765242
20170208	0.3222245502
20170209	0.4377251282
20170210	0.551954453
20170211	0.6648890676
20170212	0.7765058695
20170213	0.8867821179
20170214	0.9956954399
20170215	1.103223837
20170216	1.209345693
20170217	1.314039776
20170218	1.417285251
20170219	1.519061681
20170220	1.619349034
20170221	1.71812769
20170222	1.815378446
20170223	1.911082523
20170224	2.005221569
20170225	2.097777664
20170226	2.188733332
20170227	2.278071536
20170228	2.36577569
20170301	2.451829663
20170302	2.53621778
20170303	2.618924834
20170304	2.699936081
20170305	2.779237252
20170306	2.856814553
20170307	2.932654673
20170308	3.006744782
20170309	3.079072541
20170310	3.149626102
20170311	3.218394113
20170312	3.28536572
20170313	3.350530572
20170314	3.413878822
20170315	3.475401134
20170316	3.535088679
20170317	3.592933144
20170318	3.648926733
20170319	3.703062167
20170320	3.755332687
20170321	3.805732058
20170322	3.85425457
20170323	3.900895039
20170324	3.945648807
20170325	3.988511749
20170326	4.029480267
20170327	4.068551297
20170328	4.105722308
20170329	4.140991301
20170330	4.174356811
20170331	4.205817911
20170401	4.235374205
20170402	4.263025834
20170403	4.288773475
20170404	4.312618338
20170405	4.334562169
20170406	4.354607248
20170407	4.37275639
20170408	4.389012941
20170409	4.40338078
20170410	4.415864316
20170411	4.42646849
20170412	4.435198767
20170413	4.442061143
20170414	4.447062136
20170415	4.45020879
20170416	4.451508665
20170417	4.450969846
20170418	4.44860093
20170419	4.444411029
20170420	4.438409768
20170421	4.430607278
20170422	4.421014198
20170423	4.409641667
20170424	4.396501325
20170425	4.381605307
20170426	4.36496624
20170427	4.34659724
20170428	4.326511908
20170429	4.304724325
20170430	4.281249047
20170501	4.256101105
20170502	4.229295996
20170503	4.200849681
20170504	4.170778578
20170505	4.139099561
20170506	4.10582995
20170507	4.07098751
20170508	4.034590445
20170509	3.99665739
20170510	3.957207408
20170511	3.916259984
20170512	3.873835019
20170513	3.829952822
20170514	3.78463411
20170515	3.737899993
20170516	3.689771977
20170517	3.64027195
20170518	3.589422179
20170519	3.537245305
20170520	3.483764332
20170521	3.429002624
20170522	3.372983896
20170523	3.315732206
20170524	3.257271951
20170525	3.197627857
20170526	3.136824974
20170527	3.074888666
20170528	3.011844604
20170529	2.94771876
20170530	2.882537398
20170531	2.816327066
20170601	2.749114588
20170602	2.680927058
20170603	2.611791828
20170604	2.541736504
20170605	2.470788934
20170606	2.398977205
20170607	2.326329628
20170608	2.252874733
20170609	2.178641261
20170610	2.103658156
20170611	2.027954551
20170612	1.951559768
20170613	1.8745033
20170614	1.79681481
20170615	1.718524117
20170616	1.639661189
20170617	1.560256135
20170618	1.480339194
20170619	1.399940726
20170620	1.319091206
20170621	1.237821209
20170622	1.156161409
20170623	1.074142561
20170624	0.9917954986
20170625	0.9091511219
20170626	0.826240388
20170627	0.7430943027
20170628	0.6597439104
20170629	0.5762202858
20170630	0.4925545234
20170701	0.4087777293
20170702	0.3249210113
20170703	0.2410154693
20170704	0.1570921869
20170705	0.07318222123
20170706	-0.010683406
20170707	-0.09447371772
20170708	-0.1781577909
20170709	-0.2617047658
20170710	-0.3450838552
20170711	-0.4282643535
20170712	-0.5112156461
20170713	-0.5939072185
20170714	-0.6763086653
20170715	-0.7583896995
20170716	-0.8401201614
20170717	-0.9214700277
20170718	-1.002409421
20170719	-1.082908616
20170720	-1.162938055
20170721	-1.242468347
20170722	-1.321470286
20170723	-1.399914854
20170724	-1.47777323
20170725	-1.555016803
20170726	-1.631617173
20170727	-1.707546168
20170728	-1.782775847
20170729	-1.857278507
20170730	-1.931026697
20170731	-2.003993223
20170801	-2.076151154
20170802	-2.147473834
20170803	-2.217934888
20170804	-2.287508229
20170805	-2.356168067
20170806	-2.423888917
20170807	-2.490645605
20170808	-2.556413279
20170809	-2.621167411
20170810	-2.684883809
20170811	-2.747538621
20170812	-2.809108345
20170813	-2.869569832
20170814	-2.928900298
20170815	-2.987077327
20170816	-3.044078878
20170817	-3.099883293
20170818	-3.154469301
20170819	-3.207816029
20170820	-3.259903002
20170821	-3.310710153
20170822	-3.360217829
20170823	-3.408406794
20170824	-3.455258237
20170825	-3.500753779
20170826	-3.544875473
20170827	-3.587605814
20170828	-3.628927744
20170829	-3.668824653
20170830	-3.707280389
20170831	-3.744279259
20170901	-3.779806035
20170902	-3.813845958
20170903	-3.846384743
20170904	-3.877408583
20170905	-3.906904151
20170906	-3.934858606
20170907	-3.961259597
20170908	-3.986095266
20170909	-4.009354249
20170910	-4.031025683
20170911	-4.051099206
20170912	-4.069564962
20170913	-4.086413604
20170914	-4.101636294
20170915	-4.115224708
20170916	-4.127171037
20170917	-4.137467988
20170918	-4.146108792
20170919	-4.153087196
20170920	-4.158397472
20170921	-4.162034419
20170922	-4.163993358
20170923	-4.164270138
20170924	-4.162861137
20170925	-4.159763261
20170926	-4.154973945
20170927	-4.148491156
20170928	-4.140313389
20170929	-4.130439671
20170930	-4.118869559
20171001	-4.10560314
20171002	-4.090641033
20171003	-4.073984384
20171004	-4.055634871
20171005	-4.035594697
20171006	-4.013866596
20171007	-3.990453826
20171008	-3.96536017
20171009	-3.938589936
20171010	-3.910147951
20171011	-3.880039567
20171012	-3.848270649
20171013	-3.814847583
20171014	-3.779777266
20171015	-3.743067107
20171016	-3.704725025
20171017	-3.664759446
20171018	-3.623179297
20171019	-3.579994009
20171020	-3.535213508
20171021	-3.488848215
20171022	-3.44090904
20171023	-3.391407384
20171024	-3.340355128
20171025	-3.287764633
20171026	-3.233648735
20171027	-3.178020743
20171028	-3.120894431
20171029	-3.062284036
20171030	-3.002204253
20171031	-2.940670231
20171101	-2.877697563
20171102	-2.81330229
20171103	-2.747500889
20171104	-2.680310268
20171105	-2.611747764
20171106	-2.541831136
20171107	-2.470578557
20171108	-2.398008613
20171109	-2.32414029
20171110	-2.248992977
20171111	-2.172586451
20171112	-2.094940877
20171113	-2.016076797
20171114	-1.93601513
20171115	-1.854777156
20171116	-1.772384517
20171117	-1.688859208
20171118	-1.604223569
20171119	-1.518500277
20171120	-1.431712342
20171121	-1.343883098
20171122	-1.255036196
20171123	-1.165195594
20171124	-1.074385554
20171125	-0.9826306328
20171126	-0.8899556708
20171127	-0.7963857888
20171128	-0.7019463781
20171129	-0.6066630924
20171130	-0.5105618404
20171201	-0.4136687773
20171202	-0.3160102965
20171203	-0.2176130219
20171204	-0.1185037989
20171205	-0.01870968658
20171206	0.08174205113
20171207	0.1828239537
20171208	0.2845083728
20171209	0.3867674807
20171210	0.4895732789
20171211	0.5928976072
20171212	0.6967121519
20171213	0.8009884552
20171214	0.9056979235
20171215	1.010811837
20171216	1.116301357
20171217	1.222137537
20171218	1.328291331
20171219	1.434733601
20171220	1.541435127
20171221	1.648366617
20171222	1.755498715
20171223	1.862802011
20171224	1.970247048
20171225	2.077804333
20171226	2.185444345
20171227	2.293137546
20171228	2.400854388
20171229	2.508565322
20171230	2.616240809
20171231	2.723851327
20180101	2.831367381
20180102	2.938759514
20180103	3.045998312
20180104	3.153054416
20180105	3.259898529
20180106	3.366501428
20180107	3.472833968
20180108	3.578867098
20180109	3.684571862
20180110	3.789919413
20180111	3.894881021
20180112	3.99942808
20180113	4.103532119
20180114	4.207164807
20180115	4.310297968
20180116	4.412903581
20180117	4.514953797
20180118	4.616420942
20180119	4.717277526
20180120	4.817496254
20180121	4.91705003
20180122	5.015911971
20180123	5.114055409
20180124	5.211453903
20180125	5.308081244
20180126	5.403911468
20180127	5.498918857
20180128	5.593077952
20180129	5.686363557
20180130	5.77875075
20180131	5.870214888
20180201	5.960731614
20180202	6.050276868
20180203	6.138826889
20180204	6.226358224
20180205	6.312847738
20180206	6.398272616
20180207	6.482610374
20180208	6.565838861
20180209	6.64793627
20180210	6.728881143
20180211	6.808652376
20180212	6.887229226
20180213	6.964591317
20180214	7.040718648
20180215	7.115591594
20180216	7.189190916
20180217	7.261497766
20180218	7.33249369
20180219	7.402160636
20180220	7.470480958
20180221	7.537437421
20180222	7.603013206
20180223	7.667191915
20180224	7.729957575
20180225	7.791294644
20180226	7.851188014
20180227	7.909623017
20180228	7.966585424
20180301	8.022061457
20180302	8.076037786
20180303	8.128501536
20180304	8.17944029
20180305	8.228842091
20180306	8.276695447
20180307	8.322989334
20180308	8.367713198
20180309	8.410856957
20180310	8.452411005
20180311	8.492366216
20180312	8.530713942
20180313	8.567446019
20180314	8.602554768
20180315	8.636032995
20180316	8.667873997
20180317	8.698071557
20180318	8.726619953
20180319	8.753513953
20180320	8.778748819
20180321	8.802320307
20180322	8.824224669
20180323	8.844458654
20180324	8.863019504
20180325	8.879904961
20180326	8.895113261
20180327	8.908643138
20180328	8.920493823
20180329	8.930665041
20180330	8.939157016
20180331	8.945970465
20180401	8.951106598
20180402	8.954567122
20180403	8.956354233
20180404	8.956470619
20180405	8.954919458
20180406	8.951704415
20180407	8.946829643
20180408	8.940299778
20180409	8.932119938
20180410	8.922295722
20180411	8.910833208
20180412	8.897738947
20180413	8.883019964
20180414	8.866683754
20180415	8.848738279
20180416	8.829191967
20180417	8.808053702
20180418	8.785332831
20180419	8.761039152
20180420	8.735182914
20180421	8.707774813
20180422	8.678825987
20180423	8.648348013
20180424	8.616352904
20180425	8.582853101
20180426	8.547861473
20180427	8.511391307
20180428	8.473456311
20180429	8.434070601
20180430	8.393248702
20180501	8.351005539
20180502	8.307356436
20180503	8.262317106
20180504	8.215903647
20180505	8.168132541
20180506	8.119020642
20180507	8.068585171
20180508	8.016843716
20180509	7.963814219
20180510	7.909514975
20180511	7.85396462
20180512	7.797182133
20180513	7.739186821
20180514	7.679998318
20180515	7.619636577
20180516	7.558121862
20180517	7.495474744
20180518	7.43171609
20180519	7.36686706
20180520	7.300949099
20180521	7.233983928
20180522	7.165993537
20180523	7.097000181
20180524	7.027026368
20180525	6.956094857
20180526	6.884228644
20180527	6.81145096
20180528	6.73778526
20180529	6.663255216
20180530	6.587884712
20180531	6.51169783
20180601	6.43471885
20180602	6.356972234
20180603	6.278482626
20180604	6.199274836
20180605	6.119373838
20180606	6.03880476
20180607	5.957592874
20180608	5.875763591
20180609	5.793342449
20180610	5.710355108
20180611	5.626827342
20180612	5.542785026
20180613	5.458254132
20180614	5.373260722
20180615	5.287830932
20180616	5.201990973
20180617	5.115767116
20180618	5.029185686
20180619	4.942273054
20180620	4.855055627
20180621	4.767559842
20180622	4.679812152
20180623	4.591839027
20180624	4.503666936
20180625	4.415322343
20180626	4.3268317
20180627	4.238221436
20180628	4.149517948
20180629	4.060747597
20180630	3.971936692
20180701	3.883111492
20180702	3.794298188
20180703	3.705522899
20180704	3.616811665
20180705	3.528190437
20180706	3.439685069
20180707	3.351321309
20180708	3.263124793
20180709	3.175121036
20180710	3.087335424
20180711	2.999793205
20180712	2.912519482
20180713	2.825539206
20180714	2.738877168
20180715	2.65255799
20180716	2.566606117
20180717	2.481045813
20180718	2.395901148
20180719	2.311195997
20180720	2.226954026
20180721	2.14319869
20180722	2.059953223
20180723	1.97724063
20180724	1.895083684
20180725	1.813504915
20180726	1.732526604
20180727	1.652170778
20180728	1.572459201
20180729	1.49341337
20180730	1.415054505
20180731	1.337403545
20180801	1.260481141
20180802	1.18430765
20180803	1.108903129
20180804	1.034287329
20180805	0.9604796868
20180806	0.8874993231
20180807	0.8153650339
20180808	0.7440952859
20180809	0.6737082109
20180810	0.6042216005
20180811	0.5356529005
20180812	0.4680192063
20180813	0.4013372574
20180814	0.3356234327
20180815	0.2708937457
20180816	0.2071638398
20180817	0.1444489837
20180818	0.08276406718
20180819	0.02212359676
20180820	-0.03745830867
20180821	-0.09596792162
20180822	-0.15339191
20180823	-0.2097173409
20180824	-0.2649316842
20180825	-0.3190228161
20180826	-0.3719790224
20180827	-0.4237890018
20180828	-0.474441869
20180829	-0.5239271575
20180830	-0.5722348227
20180831	-0.6193552443
20180901	-0.6652792291
20180902	-0.7099980131
20180903	-0.7535032639
20180904	-0.795787083
20180905	-0.8368420073
20180906	-0.8766610114
20180907	-0.9152375091
20180908	-0.9525653549
20180909	-0.9886388454
20180910	-1.023452721
20180911	-1.057002165
20180912	-1.089282809
20180913	-1.120290729
20180914	-1.150022447
20180915	-1.178474936
20180916	-1.205645612
20180917	-1.231532343
20180918	-1.256133445
20180919	-1.279447679
20180920	-1.301474258
20180921	-1.32221284
20180922	-1.34166353
20180923	-1.359826882
20180924	-1.376703894
20180925	-1.392296008
20180926	-1.406605111
20180927	-1.419633534
20180928	-1.431384046
20180929	-1.441859858
20180930	-1.451064619
20181001	-1.459002414
20181002	-1.465677763
20181003	-1.471095618
20181004	-1.475261361
20181005	-1.478180803
20181006	-1.47986018
20181007	-1.48030615
20181008	-1.479525794
20181009	-1.477526607
20181010	-1.474316502
20181011	-1.4699038
20181012	-1.464297233
20181013	-1.457505936
20181014	-1.449539445
20181015	-1.440407696
20181016	-1.430121017
20181017	-1.418690125
20181018	-1.406126126
20181019	-1.392440507
20181020	-1.37764513
20181021	-1.361752235
20181022	-1.344774429
20181023	-1.326724681
20181024	-1.307616323
20181025	-1.287463041
20181026	-1.266278871
20181027	-1.244078194
20181028	-1.220875731
20181029	-1.196686537
20181030	-1.171525997
20181031	-1.145409821
20181101	-1.118354036
20181102	-1.090374983
20181103	-1.061489308
20181104	-1.031713962
20181105	-1.001066187
20181106	-0.9695635198
20181107	-0.937223776
20181108	-0.9040650509
20181109	-0.8701057101
20181110	-0.8353643844
20181111	-0.7998599627
20181112	-0.7636115859
20181113	-0.7266386404
20181114	-0.6889607511
20181115	-0.6505977753
20181116	-0.6115697956
20181117	-0.571897113
20181118	-0.5316002404
20181119	-0.4906998954
20181120	-0.4492169933
20181121	-0.4071726402
20181122	-0.3645881258
20181123	-0.3214849163
20181124	-0.2778846472
20181125	-0.2338091161
20181126	-0.1892802752
20181127	-0.1443202244
20181128	-0.09895120344
20181129	-0.05319558487
20181130	-0.007075866449
20181201	0.03938533629
20181202	0.08616529754
20181203	0.1332411887
20181204	0.180590086
20181205	0.228188978
20181206	0.2760147732
20181207	0.3240443076
20181208	0.3722543525
20181209	0.4206216219
20181210	0.4691227801
20181211	0.5177344497
20181212	0.5664332188
20181213	0.6151956492
20181214	0.6639982833
20181215	0.7128176525
20181216	0.7616302844
20181217	0.8104127106
20181218	0.8591414741
20181219	0.9077931372
20181220	0.956344289
20181221	1.004771553
20181222	1.053051594
20181223	1.101161128
20181224	1.149076926
20181225	1.196775824
20181226	1.244234729
20181227	1.291430631
20181228	1.338340602
20181229	1.38494181
20181230	1.431211526
20181231	1.477127127
20190101	1.522666106
20190102	1.567806081
20190103	1.612524799
20190104	1.656800144
20190105	1.700610145
20190106	1.743932981
20190107	1.78674699
20190108	1.829030674
20190109	1.870762709
20190110	1.911921948
20190111	1.952487428
20190112	1.99243838
20190113	2.031754232
20190114	2.070414618
20190115	2.10839938
20190116	2.145688582
20190117	2.182262508
20190118	2.218101674
20190119	2.253186829
20190120	2.287498968
20190121	2.321019331
20190122	2.353729412
20190123	2.385610963
20190124	2.416646005
20190125	2.446816825
20190126	2.476105989
20190127	2.504496342
20190128	2.531971017
20190129	2.558513438
20190130	2.584107326
20190131	2.608736703
20190201	2.6323859
20190202	2.655039556
20190203	2.676682629
20190204	2.697300394
20190205	2.716878453
20190206	2.735402739
20190207	2.752859514
20190208	2.769235382
20190209	2.784517286
20190210	2.798692515
20190211	2.811748706
20190212	2.823673851
20190213	2.834456297
20190214	2.844084751
20190215	2.852548282
20190216	2.859836327
20190217	2.865938691
20190218	2.870845551
20190219	2.87454746
20190220	2.877035346
20190221	2.878300521
20190222	2.878334677
20190223	2.877129891
20190224	2.874678627
20190225	2.87097374
20190226	2.866008474
20190227	2.859776467
20190228	2.85227175
20190301	2.843488751
20190302	2.833422297
20190303	2.82206761
20190304	2.809420317
20190305	2.795476441
20190306	2.780232409
20190307	2.763685052
20190308	2.745831603
20190309	2.726669697
20190310	2.706197376
20190311	2.684413086
20190312	2.661315675
20190313	2.6369044
20190314	2.611178918
20190315	2.584139293
20190316	2.555785992
20190317	2.526119885
20190318	2.495142246
20190319	2.46285475
20190320	2.429259472
20190321	2.394358889
20190322	2.358155875
20190323	2.320653705
20190324	2.281856045
20190325	2.241766962
20190326	2.20039091
20190327	2.15773274
20190328	2.113797688
20190329	2.06859138
20190330	2.022119827
20190331	1.974389423
20190401	1.925406944
20190402	1.875179543
20190403	1.823714748
20190404	1.771020464
20190405	1.717104962
20190406	1.661976883
20190407	1.605645232
20190408	1.548119374
20190409	1.489409036
20190410	1.429524294
20190411	1.36847558
20190412	1.306273672
20190413	1.242929692
20190414	1.178455101
20190415	1.112861701
20190416	1.04616162
20190417	0.9783673209
20190418	0.9094915861
20190419	0.8395475203
20190420	0.7685485437
20190421	0.6965083874
20190422	0.6234410897
20190423	0.5493609906
20190424	0.4742827281
20190425	0.3982212325
20190426	0.3211917222
20190427	0.2432096984
20190428	0.1642909403
20190429	0.08445149975
20190430	0.003707696348
20190501	-0.07792388796
20190502	-0.1604264141
20190503	-0.2437827915
20190504	-0.3279756831
20190505	-0.4129875112
20190506	-0.4988004632
20190507	-0.5853964968
20190508	-0.6727573459
20190509	-0.7608645265
20190510	-0.8496993425
20190511	-0.9392428913
20190512	-1.02947607
20190513	-1.120379582
20190514	-1.21193394
20190515	-1.304119477
20190516	-1.39691635
20190517	-1.490304543
20190518	-1.584263879
20190519	-1.678774023
20190520	-1.773814487
20190521	-1.869364639
20190522	-1.96540371
20190523	-2.061910795
20190524	-2.158864867
20190525	-2.256244778
20190526	-2.354029265
20190527	-2.452196962
20190528	-2.5507264
20190529	-2.649596018
20190530	-2.748784166
20190531	-2.848269117
20190601	-2.948029066
20190602	-3.048042144
20190603	-3.148286417
20190604	-3.248739901
20190605	-3.349380562
20190606	-3.450186324
20190607	-3.551135077
20190608	-3.652204683
20190609	-3.753372983
20190610	-3.854617801
20190611	-3.955916955
20190612	-4.057248259
20190613	-4.15858953
20190614	-4.2599186
20190615	-4.361213315
20190616	-4.462451545
20190617	-4.563611192
20190618	-4.664670192
20190619	-4.765606526
20190620	-4.866398222
20190621	-4.967023367
20190622	-5.067460106
20190623	-5.167686653
20190624	-5.267681298
20190625	-5.367422408
20190626	-5.46688844
20190627	-5.56605794
20190628	-5.664909554
20190629	-5.763422033
20190630	-5.861574238
20190701	-5.959345144
20190702	-6.056713852
20190703	-6.153659586
20190704	-6.250161708
20190705	-6.346199716
20190706	-6.441753254
20190707	-6.536802115
20190708	-6.631326249
20190709	-6.725305765
20190710	-6.818720942
20190711	-6.911552226
20190712	-7.003780244
20190713	-7.095385801
20190714	-7.186349893
20190715	-7.276653704
20190716	-7.366278618
20190717	-7.455206219
20190718	-7.543418297
20190719	-7.630896854
20190720	-7.717624107
20190721	-7.803582495
20190722	-7.888754678
20190723	-7.973123548
20190724	-8.056672229
20190725	-8.139384081
20190726	-8.221242709
20190727	-8.302231958
20190728	-8.382335928
