epoch_index	date_yyyymmdd
1	20170320
2	20170401
3	20170507
4	20170519
5	20170531
6	20170612
7	20170624
8	20170706
9	20170718
10	20170730
11	20170811
12	20170823
13	20170904
14	20170916
15	20170928
16	20171010
17	20171022
18	20171103
19	20171115
20	20171209
21	20171221
22	20180102
23	20180114
24	20180126
25	20180207
26	20180219
27	20180303
28	20180315
29	20180327
30	20180408
31	20180420
32	20180502
33	20180514
34	20180526
35	20180607
36	20180619
37	20180701
38	20180713
39	20180725
40	20180818
41	20180830
42	20180911
43	20180923
44	20181005
45	20181017
46	20181029
47	20181110
48	20181204
49	20181216
50	20181228
51	20190109
52	20190121
53	20190202
54	20190214
55	20190226
56	20190310
57	20190322
58	20190403
59	20190415
60	20190427
61	20190509
62	20190521
63	20190602
64	20190614
65	20190626
66	20190708
67	20190720
68	20190801
69	20190813
70	20190825
71	20190906
72	20190918
73	20190930
74	20191012
75	20191117
76	20191129
77	20191211
78	20191223
79	20200104
80	20200116
81	20200128
82	20200209
83	20200221
84	20200304
85	20200316
86	20200328
87	20200409
88	20200421
89	20200503
90	20200515
91	20200608
92	20200620
93	20200702
94	20200714
95	20200726
96	20200807
97	20200819
98	20200831
99	20200912
100	20200924
101	20201006
102	20201018
103	20201030
104	20201111
105	20201123
106	20201205
107	20201217
108	20201229
109	20210110
110	20210122
111	20210203
112	20210215
113	20210227
114	20210311
115	20210323
116	20210404
117	20210416
118	20210428
119	20210510
120	20210522
121	20201018
122	20201030
123	20201111
124	20201123
125	20201205
126	20201217
127	20201229
128	20210110
129	20210122
130	20210203
131	20210215
132	20210227
133	20210311
134	20210323
